日期,段,负载电量kWh,光伏电量kWh,净负荷kWh,负载均值kW,光伏均值kW
2025-01-01,0:00-4:00,15509.0994,0.0000,15509.0994,3877.2748,0.0000
2025-01-01,4:00-8:00,20000.8400,847.0651,19153.7749,5000.2100,211.7663
2025-01-01,8:00-12:00,28475.7695,17565.9952,10909.7742,7118.9424,4391.4988
2025-01-01,12:00-16:00,26216.5048,16245.4652,9971.0396,6554.1262,4061.3663
2025-01-01,16:00-20:00,21140.2919,592.4569,20547.8351,5285.0730,148.1142
2025-01-01,20:00-24:00,15943.6467,0.0000,15943.6467,3985.9117,0.0000
2025-01-02,0:00-4:00,15711.9203,0.0000,15711.9203,3927.9801,0.0000
2025-01-02,4:00-8:00,20040.2973,853.8930,19186.4043,5010.0743,213.4732
2025-01-02,8:00-12:00,28486.6979,16883.7418,11602.9560,7121.6745,4220.9355
2025-01-02,12:00-16:00,26442.1244,16397.9245,10044.1999,6610.5311,4099.4811
2025-01-02,16:00-20:00,21086.3457,636.2799,20450.0658,5271.5864,159.0700
2025-01-02,20:00-24:00,15889.6929,0.0000,15889.6929,3972.4232,0.0000
2025-01-03,0:00-4:00,12098.4503,0.0000,12098.4503,3024.6126,0.0000
2025-01-03,4:00-8:00,14064.7737,848.9888,13215.7849,3516.1934,212.2472
2025-01-03,8:00-12:00,17298.9843,17478.0333,-179.0490,4324.7461,4369.5083
2025-01-03,12:00-16:00,15764.0957,17448.0971,-1684.0014,3941.0239,4362.0243
2025-01-03,16:00-20:00,11895.7324,603.4961,11292.2362,2973.9331,150.8740
2025-01-03,20:00-24:00,10761.5204,0.0000,10761.5204,2690.3801,0.0000
2025-01-04,0:00-4:00,11874.6599,0.0000,11874.6599,2968.6650,0.0000
2025-01-04,4:00-8:00,13784.9421,927.5832,12857.3589,3446.2355,231.8958
2025-01-04,8:00-12:00,17133.4039,18114.6568,-981.2529,4283.3510,4528.6642
2025-01-04,12:00-16:00,15900.1614,17489.9839,-1589.8225,3975.0403,4372.4960
2025-01-04,16:00-20:00,12011.1247,593.9037,11417.2210,3002.7812,148.4759
2025-01-04,20:00-24:00,11187.4379,0.0000,11187.4379,2796.8595,0.0000
2025-01-05,0:00-4:00,15821.2893,0.0000,15821.2893,3955.3223,0.0000
2025-01-05,4:00-8:00,20021.0250,840.9094,19180.1157,5005.2563,210.2273
2025-01-05,8:00-12:00,28486.5424,17566.2925,10920.2500,7121.6356,4391.5731
2025-01-05,12:00-16:00,26465.3294,17621.9345,8843.3949,6616.3323,4405.4836
