文件,工作表,字段,含义,单位,类型,样本量,取值范围
附件1.xlsx,Sheet1,时间,时段开始时刻标签,-,文本/时间型混用,144,00:10 → 0:00+1
附件1.xlsx,Sheet1,电价,该时段电价,元/kWh,数值,144,0.3713—1.3952
附件1.xlsx,Sheet1,小区负载,该时段小区用电功率,kW,数值,144,3309.39—5958.97
附件1.xlsx,Sheet1,光伏发电预测功率,典型日光伏预测功率,kW,数值,144,0.00—7612.32
附件2.xlsx,小区负载,日期\时间,日期键 + 144 个时段标签,-,日期型/时间型,365×144,2025-01-01—2025-12-31
附件2.xlsx,小区负载,数值,该日该时段小区用电功率,kW,数值,52560,1995.72—7978.88
附件2.xlsx,光伏发电实际功率,数值,该日该时段光伏实际功率,kW,数值,52560,0.00—10216.20
附件3.xlsx,Sheet1,日期,预报发布日期(每4行继承一次),-,文本,365,2025-1-1—2025-12-31
附件3.xlsx,Sheet1,预报时刻,发布时刻,时刻,文本,1460,0:00/6:00/12:00/18:00
附件3.xlsx,Sheet1,预报1—24小时,目标整点光伏发电功率预报,kW,数值,1460×24,0—9995.8875
附件4.xlsx,Sheet1,日期\时间,日期键 + 144 个时段标签,-,日期型/时间型,365×144,2025-01-01—2025-12-31
附件4.xlsx,Sheet1,数值,该日该时段电价,元/kWh,数值,52560,0.0076—1.7936
