日期,负载电量kWh,光伏电量kWh,负载峰值kW,光伏峰值kW,平均电价元每kWh,光伏负载比
2025-01-01,127286.1524,35250.9824,7469.4947,5494.7250,0.9265,0.2769
2025-01-02,127657.0785,34771.8392,7519.6199,5429.3182,0.9266,0.2724
2025-01-03,81883.5567,36378.6153,4753.5400,6232.0875,0.7386,0.4443
2025-01-04,81891.7301,37126.1277,4626.1070,6566.5273,0.7303,0.4534
2025-01-05,127674.1188,36638.4085,7474.9983,6130.3875,0.9252,0.2870
2025-01-06,126826.6901,36194.2090,7428.5300,6048.5188,0.9290,0.2854
2025-01-07,126927.4621,34360.5612,7373.5665,5426.8125,0.9234,0.2707
2025-01-08,126695.9440,37169.9426,7400.2529,6346.5393,0.9174,0.2934
2025-01-09,127066.6182,35975.0621,7450.7115,6089.8125,0.9206,0.2831
2025-01-10,81486.6384,35995.9717,4631.4600,5738.2860,0.7293,0.4417
2025-01-11,81610.1950,36744.3083,4590.2659,6055.9664,0.7342,0.4502
2025-01-12,126519.3270,35653.4386,7376.2661,5661.3299,0.9254,0.2818
2025-01-13,126980.3598,38706.4028,7430.6600,6209.8471,0.9149,0.3048
2025-01-14,127109.4906,37829.1777,7427.0300,6219.5250,0.9169,0.2976
2025-01-15,126963.8990,36893.5560,7507.7254,6093.5776,0.9231,0.2906
2025-01-16,126807.7642,37733.6127,7524.4005,6199.3148,0.9151,0.2976
2025-01-17,80876.0762,38186.9627,4658.1401,5964.0608,0.7245,0.4722
2025-01-18,81208.0575,37965.5485,4588.0665,6090.7508,0.7224,0.4675
2025-01-19,126210.8462,37527.7067,7413.6200,6244.4250,0.9177,0.2973
2025-01-20,126565.6662,38498.5896,7455.2219,6597.6375,0.9135,0.3042
2025-01-21,125750.1459,42274.2412,7419.2100,7159.1250,0.8956,0.3362
2025-01-22,126679.5886,37780.8242,7408.7913,6052.0204,0.9191,0.2982
2025-01-23,126355.4311,36789.5056,7448.7502,5765.1000,0.9220,0.2912
2025-01-24,80339.5357,40510.1226,4657.1800,6893.0015,0.7099,0.5042
2025-01-25,80632.0643,42192.4888,4513.9210,6893.0250,0.7050,0.5233
2025-01-26,126385.0486,38686.0586,7465.2636,6081.5150,0.9162,0.3061
2025-01-27,125642.9502,41448.0334,7208.8447,6775.3125,0.8984,0.3299
2025-01-28,126496.6109,39516.2116,7434.6000,6368.8875,0.9057,0.3124
2025-01-29,125425.4449,44040.2438,7546.7527,6744.6000,0.8898,0.3511
2025-01-30,126011.0499,42268.4672,7406.3915,6877.2482,0.9001,0.3354
2025-01-31,80009.9200,41245.5969,4630.4064,6402.7778,0.7114,0.5155
2025-02-01,76305.2063,41927.0304,4422.7600,6817.8939,0.6515,0.5495
2025-02-02,121705.9726,43349.6947,7139.7466,6888.0375,0.8364,0.3562
2025-02-03,122603.7690,42386.8525,7168.4724,6690.5234,0.8448,0.3457
2025-02-04,121578.0989,40383.2349,7107.2500,6731.0625,0.8492,0.3322
2025-02-05,121991.0844,41242.6574,7224.4705,6428.5545,0.8483,0.3381
2025-02-06,122252.1627,41981.1055,7370.8801,6471.7125,0.8440,0.3434
2025-02-07,76168.5969,44362.9173,4434.4978,7256.5787,0.6440,0.5824
2025-02-08,75746.7875,44169.6248,4351.2177,7088.1000,0.6424,0.5831
2025-02-09,121547.9036,41992.4876,7076.4168,6253.2750,0.8414,0.3455
2025-02-10,121477.5645,47150.9269,7204.3318,7364.3250,0.8181,0.3881
2025-02-11,121441.2816,46220.6845,7166.8905,7003.2750,0.8285,0.3806
2025-02-12,121363.8529,46097.1167,7161.6182,7315.9230,0.8264,0.3798
2025-02-13,121310.2837,49980.8047,7014.8900,7680.8224,0.8148,0.4120
2025-02-14,75872.6380,46070.8361,4372.7346,6962.8019,0.6311,0.6072
2025-02-15,76054.5522,46774.4611,4277.9180,7133.5125,0.6378,0.6150
2025-02-16,121276.9773,45899.5982,7088.5100,7028.0698,0.8303,0.3785
2025-02-17,120960.3728,49776.5096,6988.6956,7513.7044,0.8174,0.4115
2025-02-18,121331.2712,49239.8835,7206.1836,7419.9499,0.8145,0.4058
2025-02-19,121866.7941,48987.4667,7070.5550,7833.7125,0.8164,0.4020
2025-02-20,121105.2570,50112.1233,7196.5200,7539.8240,0.8168,0.4138
2025-02-21,75802.0020,50241.7400,4384.8008,7515.7143,0.6209,0.6628
2025-02-22,75682.2423,47837.4794,4331.9968,7196.6991,0.6353,0.6321
2025-02-23,121142.1409,49610.2873,7208.9983,7288.6875,0.8154,0.4095
2025-02-24,120628.9886,52425.9549,7050.7951,7662.6274,0.8082,0.4346
2025-02-25,121093.3329,55272.0096,7053.8000,8445.2427,0.7941,0.4564
2025-02-26,121060.7341,52245.8861,7226.3100,7896.2644,0.8055,0.4316
2025-02-27,120599.4889,53642.9047,7071.6761,8374.7625,0.7979,0.4448
2025-02-28,75385.1079,52092.5144,4445.4841,7498.5540,0.6167,0.6910
2025-03-01,72244.1601,48585.3942,4142.3600,7492.2702,0.6142,0.6725
2025-03-02,117860.4171,45502.1100,6795.4853,6686.5125,0.8123,0.3861
2025-03-03,117958.7456,45941.5990,6791.9200,6971.9847,0.8119,0.3895
2025-03-04,118139.0250,48939.5670,6925.7674,7151.2770,0.8006,0.4143
2025-03-05,118073.4438,51942.9718,6756.2638,7677.2250,0.7945,0.4399
2025-03-06,117673.5985,51732.9444,6885.8800,7499.5431,0.7919,0.4396
2025-03-07,71680.3614,50758.0759,3889.2260,7968.7764,0.6085,0.7081
2025-03-08,72344.7116,53281.5721,3945.5771,7735.1789,0.5973,0.7365
2025-03-09,117692.9865,54359.4615,6856.1255,8501.7000,0.7838,0.4619
2025-03-10,117943.0644,49900.9929,6838.7388,6867.5106,0.8025,0.4231
2025-03-11,117499.5529,53560.6341,6815.7693,7760.9319,0.7894,0.4558
2025-03-12,118112.2368,55676.7021,6849.8277,7996.2000,0.7802,0.4714
2025-03-13,118237.2770,50691.6590,6755.9700,6841.6500,0.7996,0.4287
2025-03-14,72108.8690,56079.4430,4085.7180,8505.6624,0.5914,0.7777
2025-03-15,72724.9818,51800.8566,3931.5800,7167.0696,0.6048,0.7123
2025-03-16,117983.2160,54632.1690,6761.7800,8389.4250,0.7849,0.4631
2025-03-17,117693.6218,59835.4904,6833.9697,8640.9976,0.7602,0.5084
2025-03-18,117253.4236,56127.4652,6921.4474,7904.3377,0.7760,0.4787
2025-03-19,117281.5580,57816.0875,6689.6717,8611.9875,0.7718,0.4930
2025-03-20,117648.3817,55439.4199,6757.8100,8090.5707,0.7786,0.4712
2025-03-21,72593.5322,60560.0677,4034.3900,8906.5125,0.5703,0.8342
2025-03-22,71936.9295,56055.7298,4167.1000,8278.4416,0.5874,0.7792
2025-03-23,117739.9773,58970.2571,6763.6612,8184.1843,0.7672,0.5009
2025-03-24,117425.1706,59426.6735,6795.0967,8525.2623,0.7675,0.5061
2025-03-25,118053.1678,57103.0431,6871.3100,8011.0998,0.7713,0.4837
2025-03-26,117704.6278,62112.0729,6761.9518,8768.6625,0.7566,0.5277
2025-03-27,117952.5984,59235.6090,6909.2138,8850.1024,0.7664,0.5022
2025-03-28,71891.7673,61069.8865,4079.1469,8901.8625,0.5748,0.8495
2025-03-29,72118.2775,64411.0683,3864.2226,9127.0875,0.5631,0.8931
2025-03-30,117994.7058,62649.0861,6727.6800,8892.9124,0.7520,0.5309
2025-03-31,117075.6656,60124.2761,6612.0330,8322.4163,0.7607,0.5136
2025-04-01,117967.1463,57758.2948,6737.5600,7235.1617,0.7731,0.4896
2025-04-02,117986.6295,57551.2940,6730.1456,7663.9875,0.7723,0.4878
2025-04-03,117884.4561,62020.9258,6769.6013,8969.2875,0.7645,0.5261
2025-04-04,71735.7518,65304.9496,3917.1456,9069.6620,0.5595,0.9104
2025-04-05,72602.7426,60558.6276,3931.6600,8792.8044,0.5755,0.8341
2025-04-06,117205.4306,62795.3543,6763.2700,8801.4075,0.7557,0.5358
2025-04-07,117015.1420,63772.4227,6828.7119,9287.9673,0.7517,0.5450
2025-04-08,117713.2903,63360.0966,6699.2279,9020.2965,0.7519,0.5383
2025-04-09,117677.5225,58543.2115,6736.9900,8105.8317,0.7663,0.4975
2025-04-10,117668.7007,63208.0628,6855.2097,9420.7500,0.7580,0.5372
2025-04-11,72091.9967,66775.3466,4037.6500,9272.7325,0.5515,0.9263
2025-04-12,71957.1758,62932.0152,3976.1200,8208.2250,0.5639,0.8746
2025-04-13,117283.0622,63006.7037,6693.9151,8404.2373,0.7563,0.5372
2025-04-14,117901.3727,65373.3409,6671.9435,8660.7490,0.7466,0.5545
2025-04-15,117056.9052,66917.4763,6608.0900,9218.8911,0.7385,0.5717
2025-04-16,117924.8851,62145.2931,6685.7564,8410.2000,0.7624,0.5270
2025-04-17,117487.0426,64618.7003,6827.5423,8705.7127,0.7478,0.5500
2025-04-18,71490.1693,65136.0522,3994.7700,8269.4625,0.5594,0.9111
2025-04-19,71905.4153,65120.7361,3916.1200,8731.5486,0.5580,0.9056
2025-04-20,117197.8163,65240.0715,6792.0200,8612.6250,0.7454,0.5567
2025-04-21,118481.6379,69964.7275,6857.4023,9678.3230,0.7340,0.5905
2025-04-22,117811.0010,65658.0717,6745.3697,8660.9267,0.7510,0.5573
2025-04-23,118030.5148,66630.5981,6759.7251,8613.0375,0.7479,0.5645
2025-04-24,117497.7797,70407.6730,6821.3307,8947.3125,0.7362,0.5992
2025-04-25,71763.3212,69762.9635,3864.9700,8982.5391,0.5407,0.9721
2025-04-26,72100.9244,72030.7307,4037.3400,10216.2000,0.5378,0.9990
2025-04-27,117032.5225,68459.0513,6958.0721,9773.1872,0.7338,0.5850
2025-04-28,117537.3008,60915.3335,6733.0600,7986.2625,0.7661,0.5183
2025-04-29,117252.7587,69819.5450,6742.0744,8972.0663,0.7304,0.5955
2025-04-30,117682.8807,69426.0263,6649.8942,8402.3250,0.7294,0.5899
2025-05-01,120364.5839,69353.2051,6698.4213,9235.0962,0.7473,0.5762
2025-05-02,74761.0267,60470.7066,4037.2752,7707.4723,0.5870,0.8089
2025-05-03,74894.8493,66027.6776,3969.5171,8849.5500,0.5698,0.8816
2025-05-04,120670.0842,68935.4169,6661.7452,8612.3007,0.7461,0.5713
2025-05-05,120612.1639,65536.1571,6978.6702,8933.5125,0.7605,0.5434
2025-05-06,121017.1901,68147.1077,6705.0600,9114.7500,0.7532,0.5631
2025-05-07,121160.2150,66092.3691,6722.4400,8872.1198,0.7587,0.5455
2025-05-08,120445.4774,64618.9650,6745.9356,7902.6323,0.7617,0.5365
2025-05-09,74253.8255,65754.4396,3944.2000,8503.9468,0.5667,0.8855
2025-05-10,74647.9870,62526.9418,4059.8774,8429.3679,0.5753,0.8376
2025-05-11,120743.0904,65259.0113,6810.1725,8567.9250,0.7608,0.5405
2025-05-12,120448.6036,68517.4084,6688.1596,8631.9801,0.7518,0.5689
2025-05-13,120269.6316,67140.4188,6792.9639,8286.2625,0.7564,0.5582
2025-05-14,120592.0053,67577.8565,6741.5507,8331.6110,0.7476,0.5604
2025-05-15,119598.3098,66833.2515,6694.6800,8915.7970,0.7528,0.5588
2025-05-16,74681.3447,71965.8382,3979.4700,9398.3872,0.5454,0.9636
2025-05-17,75274.5304,64825.7313,3978.2882,8226.4740,0.5734,0.8612
2025-05-18,120687.0370,67010.8689,6709.3900,8228.9882,0.7507,0.5552
2025-05-19,120072.3880,72557.1714,6801.6883,9791.5500,0.7318,0.6043
2025-05-20,120437.5777,65910.1829,6727.4774,8033.1050,0.7566,0.5473
2025-05-21,120283.0513,68920.4360,6708.7105,8834.8555,0.7458,0.5730
2025-05-22,119729.6800,68913.0492,6921.1675,8415.9375,0.7462,0.5756
2025-05-23,74983.3844,68562.4355,4036.6378,8776.2758,0.5570,0.9144
2025-05-24,74693.8178,70939.3164,3857.1600,9024.9261,0.5532,0.9497
2025-05-25,120319.8776,71774.8674,6819.6863,9350.4000,0.7380,0.5965
2025-05-26,119407.9694,64828.1364,6742.8242,7902.2191,0.7525,0.5429
2025-05-27,120046.8273,70656.4600,6765.3057,9260.8875,0.7429,0.5886
2025-05-28,119921.8472,67648.0231,6696.9493,8775.1952,0.7513,0.5641
2025-05-29,120439.3143,66329.1908,6727.6900,8777.3689,0.7595,0.5507
2025-05-30,74612.2245,68015.9912,4006.9058,9923.7033,0.5610,0.9116
2025-05-31,74778.3326,66389.1510,4191.1100,8854.4041,0.5664,0.8878
2025-06-01,128248.5600,57023.7337,7143.6182,7196.5431,0.8192,0.4446
2025-06-02,128080.5370,59439.7295,7148.4465,8544.6515,0.8099,0.4641
2025-06-03,128076.8406,59884.4737,7339.7755,8094.4500,0.8063,0.4676
2025-06-04,128539.8436,58894.5828,7332.9253,7396.2173,0.8137,0.4582
2025-06-05,128455.9207,57306.6026,7187.6205,7293.9266,0.8221,0.4461
2025-06-06,82747.4150,51892.4196,4411.7038,6809.5125,0.6493,0.6271
2025-06-07,83156.7597,52030.2466,4580.8126,6798.3000,0.6503,0.6257
2025-06-08,128266.9466,63082.0234,7464.8973,7976.7529,0.7971,0.4918
2025-06-09,128169.1880,57236.4752,7491.4643,7458.0375,0.8193,0.4466
2025-06-10,127414.4918,55796.0475,7093.9549,7389.5230,0.8168,0.4379
2025-06-11,128236.6773,52152.2310,7380.2678,7225.3875,0.8317,0.4067
2025-06-12,127721.8130,55269.4215,7160.7820,7236.4420,0.8220,0.4327
2025-06-13,81889.5904,53544.2767,4255.2431,7245.4464,0.6400,0.6539
2025-06-14,82253.1571,56059.8144,4411.5054,7014.7419,0.6369,0.6816
2025-06-15,127368.8845,56741.9102,7216.4039,7168.4094,0.8178,0.4455
2025-06-16,127618.6320,54924.5792,7060.7600,7403.1285,0.8232,0.4304
2025-06-17,127311.7546,52674.7434,7060.1900,6701.7119,0.8286,0.4137
2025-06-18,126909.0789,55980.6880,7018.6017,6770.4375,0.8200,0.4411
2025-06-19,127349.0669,59089.5627,7327.2228,7864.0204,0.8079,0.4640
2025-06-20,81137.0797,58736.4989,4296.4077,7189.0440,0.6213,0.7239
2025-06-21,81408.0648,62073.3244,4317.2602,8605.7877,0.6095,0.7625
